Product ID,Product Name,Category,Region,Sales Amount,Cost,Profit,Units Sold,Sales Date,Discount (%),Sales Channel,Customer Satisfaction Score,Customer Segment,Payment Method,Shipping Duration (days),Return Status
1,Raise Pro,Furniture,Europe,3022.58,3070.4,17.15,57,11-02-2024,16.91,Online,1.6,Retail,Bank Transfer,2,Returned
2,Suffer Ultra,Furniture,Australia,4107.9,989.61,146.81,82,06-05-2024,0.43,In-store,3.2,Small Business,Debit Card,5,Not Returned
3,Stay Plus,Furniture,Europe,1033.33,652.74,509.81,49,23-02-2024,0.07,Wholesale,2.9,Corporate,Debit Card,13,Returned
4,Environment X,Toys,Asia,876.25,65.41,763.6,39,19-09-2024,5.93,Online,3.7,Corporate,PayPal,4,Not Returned
5,Involve X,Toys,Asia,4189.27,3444.76,995.95,92,25-03-2024,18.68,Online,2.3,Government,Bank Transfer,1,Returned
6,They Plus,Groceries,North America,894.61,2608.91,165.07,65,12-05-2024,25.19,Wholesale,2.6,Small Business,Credit Card,14,Returned
7,Someone X,Electronics,North America,1885.84,3979.92,549.19,40,22-04-2024,25.42,Online,3,Corporate,Bank Transfer,14,Not Returned
8,He Pro,Electronics,Africa,2747.84,838.64,677.3,39,21-04-2024,12.26,Online,2.3,Government,Bank Transfer,3,Returned
9,Between Plus,Electronics,North America,3950.27,2830.77,661.24,23,29-08-2024,5.98,Online,4.1,Small Business,Debit Card,15,Not Returned
10,Heart Ultra,Furniture,Australia,4422.51,2375.13,477.56,72,09-12-2024,0.78,In-store,4.6,Government,Debit Card,4,Returned
11,Heavy Pro,Furniture,North America,3592.71,1892.92,205.66,30,02-02-2024,5.45,Online,3.9,Government,PayPal,2,Not Returned
12,New X,Electronics,Asia,2743.78,1873.47,131.45,64,29-05-2024,19,Wholesale,2.8,Small Business,Debit Card,6,Returned
13,Piece Plus,Groceries,North America,1995.6,324.89,440.37,48,12-10-2024,14.17,In-store,4.7,Corporate,PayPal,11,Not Returned
14,Tv Pro,Clothing,Asia,3076.99,1212.54,621.53,53,07-08-2024,13.2,In-store,2,Retail,Debit Card,9,Returned
15,Opportunity Plus,Electronics,North America,1350.7,184.56,99.96,62,16-05-2024,10.1,Online,1.2,Retail,Debit Card,10,Returned
16,Inside X,Electronics,North America,1654.42,188.34,739.39,82,01-09-2024,12.85,In-store,3.5,Corporate,Credit Card,13,Not Returned
17,Kid X,Groceries,Asia,2138.16,2127.14,179.28,52,13-01-2024,26.77,Online,3.6,Small Business,Credit Card,5,Not Returned
18,Image X,Clothing,Europe,966.08,628.21,856.31,56,31-05-2024,27.26,Wholesale,1,Retail,Bank Transfer,1,Returned
19,Story Ultra,Electronics,Africa,3307.6,1993.19,568.6,58,05-12-2024,26.81,Online,1,Government,Bank Transfer,13,Returned
20,Vote Plus,Clothing,Asia,1205.76,3372.06,928.35,51,08-03-2024,6.22,Wholesale,3.9,Retail,Credit Card,6,Not Returned
21,Only X,Furniture,North America,1601.27,2318.9,533.41,32,09-12-2024,21.49,Wholesale,4.1,Corporate,Credit Card,12,Returned
22,Rise X,Groceries,Australia,4644.6,3885.66,690.05,91,13-03-2024,6.56,In-store,4.5,Retail,Bank Transfer,4,Returned
23,Book Ultra,Groceries,Europe,4083.64,3609.74,510,39,09-11-2024,23.65,Online,3.4,Small Business,PayPal,3,Not Returned
24,Start X,Furniture,Australia,3839.82,694.2,698.56,29,25-07-2024,19.46,Wholesale,1.6,Corporate,PayPal,9,Not Returned
25,Work X,Furniture,Europe,1568.04,1872.65,38.06,91,07-01-2024,14.29,Online,4.9,Small Business,PayPal,9,Returned
26,Factor Ultra,Electronics,Asia,3107.92,2542.13,564.77,8,11-11-2024,29.22,Online,3,Retail,Debit Card,14,Returned
27,Between Pro,Furniture,North America,2988.67,2248.22,890.23,64,22-01-2024,9.59,Online,3.4,Retail,Credit Card,7,Not Returned
28,Avoid Ultra,Clothing,Africa,1892.83,3179.58,704.26,31,28-02-2024,27.43,Wholesale,2,Corporate,Credit Card,3,Returned
29,Everything Ultra,Groceries,Europe,3005.41,1373.84,950.02,82,03-09-2024,7.35,In-store,4.9,Corporate,Credit Card,7,Not Returned
30,Year Ultra,Furniture,Europe,3539.08,308.51,696.04,71,24-03-2024,25.59,Wholesale,1.5,Corporate,Debit Card,8,Not Returned
31,Seven Plus,Clothing,Africa,538.3,2462.78,297.73,58,30-08-2024,27.32,Wholesale,4.9,Corporate,PayPal,6,Returned
32,Organization Plus,Clothing,Australia,4074.2,3572.66,615.28,95,29-09-2024,2.59,In-store,3.5,Corporate,Debit Card,3,Not Returned
33,Radio Plus,Groceries,Australia,2054.33,2641.17,973.66,49,14-08-2024,10.56,Wholesale,2,Small Business,Bank Transfer,12,Returned
34,Reason Pro,Groceries,North America,4055.67,2613.27,28.31,36,06-01-2024,10.28,Wholesale,3.5,Corporate,Bank Transfer,4,Not Returned
35,Save Ultra,Toys,Europe,4284.69,2182.34,269.05,18,21-10-2024,15.88,Online,4.8,Corporate,Debit Card,12,Returned
36,He X,Toys,Australia,2370.29,66.06,206.09,26,27-11-2024,8.76,Online,4.5,Corporate,Debit Card,10,Not Returned
37,Short Pro,Groceries,North America,2583.14,2861.51,335.97,15,06-05-2024,7.06,Online,4.2,Government,PayPal,5,Returned
38,Notice Plus,Electronics,Australia,2138.73,1311.49,692.33,41,29-09-2024,1.76,Online,1.8,Government,Debit Card,9,Returned
39,Figure Plus,Furniture,Europe,3152.36,1707.26,203.9,46,10-09-2024,4.46,Online,4.3,Corporate,Debit Card,6,Returned
40,Tree Ultra,Furniture,Europe,2345.63,2896.44,738.55,92,31-01-2024,18.06,Online,3.5,Small Business,PayPal,12,Returned
41,Order Pro,Toys,Australia,4058.38,1580.36,872.49,93,03-07-2024,8.41,In-store,1.1,Government,Credit Card,3,Not Returned
42,Campaign X,Clothing,Australia,4813.58,3354.58,834.54,8,27-04-2024,3.76,Online,2.5,Retail,Bank Transfer,10,Returned
43,Maybe Pro,Clothing,Asia,4774.87,2069.43,827.58,74,23-08-2024,3.37,Wholesale,1.3,Corporate,Debit Card,1,Returned
44,Half X,Groceries,Asia,1996.65,618.51,845.8,50,06-08-2024,16.32,Online,2.8,Government,Credit Card,7,Not Returned
45,Investment Plus,Furniture,North America,1673.58,787.19,465.37,74,06-09-2024,19.98,Wholesale,3.7,Corporate,Debit Card,10,Returned
46,Good X,Furniture,Asia,418.63,764.46,127.67,60,14-06-2024,16.73,Online,1.4,Retail,PayPal,9,Not Returned
47,Interview X,Furniture,Europe,2506.73,3977.44,787.45,28,17-11-2024,7.27,Online,3.7,Retail,PayPal,13,Not Returned
48,Election Ultra,Furniture,North America,2570.48,1065.49,856.06,22,21-02-2024,3.58,In-store,1.6,Corporate,Debit Card,12,Not Returned
49,Leader X,Toys,North America,3542.77,3022.39,254.91,46,19-05-2024,26.36,Online,1.8,Retail,Bank Transfer,1,Not Returned
50,Fight Pro,Groceries,Africa,1741.23,2983.82,405.52,62,25-05-2024,14.63,In-store,4.3,Corporate,Credit Card,4,Not Returned
51,Visit X,Clothing,Australia,715.77,2506.68,16.87,11,29-11-2024,19.73,In-store,2.6,Small Business,Debit Card,11,Returned
